,hardware,embedding_index,horizon,probability_opt,perfect_opt,hardware_scenario,diff
856,brooklyn,138,1,0.49744,0.49673,brooklyn_138,0.0007099999999999884
859,brooklyn,139,1,0.49744,0.49673,brooklyn_139,0.0007099999999999884
862,brooklyn,140,1,0.4974,0.49739,brooklyn_140,1.0000000000010001e-05
865,brooklyn,141,1,0.4974,0.49739,brooklyn_141,1.0000000000010001e-05
870,brooklyn,152,1,0.49524,0.49223,brooklyn_152,0.0030100000000000127
877,brooklyn,162,1,0.49656,0.49616,brooklyn_162,0.00040000000000001146
880,brooklyn,163,1,0.49656,0.49616,brooklyn_163,0.00040000000000001146
883,brooklyn,164,1,0.49768,0.49677,brooklyn_164,0.0009100000000000219
898,brooklyn,178,1,0.4966,0.49404,brooklyn_178,0.0025600000000000067
899,brooklyn,179,1,0.49512,0.49404,brooklyn_179,0.0010800000000000254
902,brooklyn,180,1,0.49512,0.48278,brooklyn_180,0.012340000000000018
903,brooklyn,181,1,0.49596,0.48278,brooklyn_181,0.013180000000000025
908,brooklyn,184,1,0.4914,0.48873,brooklyn_184,0.0026700000000000057
909,brooklyn,185,1,0.49512,0.48873,brooklyn_185,0.006390000000000007
912,brooklyn,187,1,0.4974,0.49644,brooklyn_187,0.0009600000000000164
915,brooklyn,188,1,0.49684,0.49644,brooklyn_188,0.00040000000000001146
918,brooklyn,189,1,0.49684,0.49644,brooklyn_189,0.00040000000000001146
921,brooklyn,200,1,0.497,0.49485,brooklyn_200,0.0021499999999999853
922,brooklyn,201,1,0.497,0.49485,brooklyn_201,0.0021499999999999853
925,brooklyn,202,1,0.49768,0.49641,brooklyn_202,0.0012699999999999934
926,brooklyn,203,1,0.4974,0.49641,brooklyn_203,0.0009899999999999909
929,brooklyn,210,1,0.49684,0.49667,brooklyn_210,0.00017000000000000348
932,brooklyn,211,1,0.49684,0.49667,brooklyn_211,0.00017000000000000348
935,brooklyn,212,1,0.49644,0.49223,brooklyn_212,0.0042099999999999915
938,brooklyn,213,1,0.49644,0.49223,brooklyn_213,0.0042099999999999915
941,brooklyn,214,1,0.4962,0.49485,brooklyn_214,0.0013499999999999623
944,brooklyn,215,1,0.4962,0.49485,brooklyn_215,0.0013499999999999623
947,brooklyn,216,1,0.49648,0.49641,brooklyn_216,6.999999999995898e-05
950,brooklyn,217,1,0.49648,0.49641,brooklyn_217,6.999999999995898e-05
953,brooklyn,218,1,0.49708,0.49627,brooklyn_218,0.0008100000000000329
956,brooklyn,219,1,0.49708,0.49627,brooklyn_219,0.0008100000000000329
959,brooklyn,222,1,0.49508,0.49382,brooklyn_222,0.0012600000000000389
962,brooklyn,223,1,0.49508,0.49382,brooklyn_223,0.0012600000000000389
965,brooklyn,224,1,0.49628,0.49506,brooklyn_224,0.0012199999999999989
968,brooklyn,225,1,0.49628,0.49506,brooklyn_225,0.0012199999999999989
971,brooklyn,226,1,0.49744,0.49612,brooklyn_226,0.0013199999999999878
974,brooklyn,227,1,0.49744,0.49612,brooklyn_227,0.0013199999999999878
977,brooklyn,228,1,0.49708,0.49652,brooklyn_228,0.0005600000000000049
980,brooklyn,229,1,0.49708,0.49652,brooklyn_229,0.0005600000000000049
983,brooklyn,230,1,0.49668,0.49667,brooklyn_230,1.0000000000010001e-05
986,brooklyn,231,1,0.49668,0.49667,brooklyn_231,1.0000000000010001e-05
989,brooklyn,232,1,0.49728,0.49397,brooklyn_232,0.0033099999999999796
992,brooklyn,233,1,0.49728,0.49397,brooklyn_233,0.0033099999999999796
995,brooklyn,234,1,0.49756,0.49645,brooklyn_234,0.0011099999999999999
998,brooklyn,235,1,0.49756,0.49645,brooklyn_235,0.0011099999999999999
1001,brooklyn,236,1,0.49744,0.49712,brooklyn_236,0.00031999999999998696
1004,brooklyn,237,1,0.49744,0.49712,brooklyn_237,0.00031999999999998696
1007,brooklyn,238,1,0.4966,0.49627,brooklyn_238,0.00032999999999999696
1010,brooklyn,239,1,0.4966,0.49627,brooklyn_239,0.00032999999999999696
1013,brooklyn,242,1,0.49756,0.4964,brooklyn_242,0.0011599999999999944
1016,brooklyn,243,1,0.49756,0.4964,brooklyn_243,0.0011599999999999944
1019,brooklyn,244,1,0.49752,0.49598,brooklyn_244,0.0015400000000000413
1022,brooklyn,245,1,0.49752,0.49598,brooklyn_245,0.0015400000000000413
1025,brooklyn,254,1,0.49788,0.49598,brooklyn_254,0.0019000000000000128
1028,brooklyn,255,1,0.49788,0.49598,brooklyn_255,0.0019000000000000128
1031,brooklyn,256,1,0.49712,0.49612,brooklyn_256,0.0010000000000000009
1034,brooklyn,257,1,0.49712,0.49612,brooklyn_257,0.0010000000000000009
1037,brooklyn,258,1,0.49668,0.49666,brooklyn_258,2.0000000000020002e-05
1040,brooklyn,259,1,0.49668,0.49666,brooklyn_259,2.0000000000020002e-05
1043,brooklyn,260,1,0.49752,0.49716,brooklyn_260,0.00036000000000002697
1046,brooklyn,261,1,0.49752,0.49716,brooklyn_261,0.00036000000000002697
1049,brooklyn,262,1,0.49688,0.4964,brooklyn_262,0.00047999999999998044
1052,brooklyn,263,1,0.49688,0.4964,brooklyn_263,0.00047999999999998044
1055,brooklyn,264,1,0.4972,0.49626,brooklyn_264,0.0009399999999999964
1058,brooklyn,265,1,0.4972,0.49626,brooklyn_265,0.0009399999999999964
1061,brooklyn,268,1,0.49668,0.49665,brooklyn_268,3.0000000000030003e-05
1064,brooklyn,269,1,0.49668,0.49665,brooklyn_269,3.0000000000030003e-05
1067,brooklyn,270,1,0.4978,0.49694,brooklyn_270,0.0008600000000000274
